Model,Outcome,Category,ATE,CATE_Mean,CATE_Std,AUUC,Qini,Uplift@5%,Uplift@10%,Uplift@20%,Uplift@30%,PolicyValue,PR_AUC,ROC_AUC,F1,Brier,CATE_CalErr,Coverage,IntervalWidth,Pos_CATE_%,Neg_CATE_%,ReliablePos_%,ReliableNeg_%,Uncertain_%,Runtime_s,Memory_MB
X-Learner,visit,META,0.0073384778679259,0.0073384778679259,0.0379260276096193,0.0082212743083727,0.073643158083156,0.0763254861585132,0.0570171322964193,0.0383351063605987,0.0277400556749352,0.0471542865008017,0.5128337482232633,0.945862681035545,0.4276661812717347,0.0299038934348559,0.0079112168498768,,,0.885139243440081,0.114860756559919,,,,19.7,0.0
R-Learner,visit,META,0.0073465359814193,0.0073465359814193,0.045906053083598,0.0078848996850391,0.065655106137626,0.0695955579400228,0.0544177451212385,0.0367090202169801,0.0265746782551005,0.0467824070951852,,,,,0.0087226236194935,,,0.9425171643047318,0.0574828356952682,,,,66.4,0.0
DR-Learner,visit,META,0.0072991257642398,0.0072991257642398,0.0587781143925507,0.0073085483085707,0.0519520449850044,0.0681914594774751,0.0514643432290131,0.0332926423931085,0.0242921928676823,0.0460693400156015,0.5128337482232633,0.945862681035545,0.4276661812717347,0.0299038934348559,0.0106198775464509,,,0.9503080442492604,0.0496919557507395,,,,91.6,0.0
CausalForest,visit,STRONG_MODERN,0.006294045098027,0.006294045098027,0.0192955326729168,0.0086402343326369,0.0836790099718666,0.0840802971883031,0.0593276344359867,0.0397385549508363,0.0292097719540996,0.0475434042931773,,,,,0.0045646195237143,,,0.7584822448340176,0.2415177551659824,,,,62.9,
UpliftRandomForest,visit,STRONG_MODERN,0.0092687998965638,0.0092687998965638,0.0219231063575688,0.0089120681510264,0.0903428125555103,0.0893133537210955,0.06144470921425,0.0389293319510378,0.0296881647633941,0.0474949439100422,,,,,0.0022452780901169,,,0.9106192407122954,0.0893807592877046,,,,25.4,
ClassTransformation,visit,CLASSICAL,0.0102192441829924,0.0102192441829924,0.0732970205015267,0.0080644340902114,0.0699975485090074,0.0769882163728072,0.0571081106803172,0.0359064806960782,0.0270565492048087,0.046796826007414,,,,,0.0135645704031485,,,0.9589797318853815,0.0410202681146185,,,,6.5,
TARNet,visit,STRONG_MODERN,0.0092600952528081,0.0092600952528081,0.0221788815786091,0.0090682860484135,0.0939012367161385,0.0968224988649759,0.0672091471221063,0.0403295571008099,0.0300314026680661,0.0481189943497098,0.5159882729601551,0.9458484493974316,0.4231913719048324,0.029810262698966,0.0023317482521221,,,0.99262353363641,0.0073764663635899,,,,17.4,589.2
CFRNet,visit,STRONG_MODERN,0.0066716147179829,0.0066716147179829,0.0192009425735593,0.0089313213066047,0.0906331696538496,0.0839920642134395,0.0615881800926661,0.0397617618128268,0.0298364115494903,0.0479319352415433,0.5141876756425239,0.94518100455648,0.4261531356051326,0.0299150906954735,0.0013016509299107,,,0.9768972774124568,0.023102722587543,,,,11.5,3.3
DragonNet,visit,STRONG_MODERN,0.0158204291815806,0.0158204291815806,0.0375622318890533,0.0087633134303144,0.0865491804206641,0.0711020162051095,0.0536281732659472,0.0382093320239282,0.0291546082842018,0.0478434112056739,0.5141164463128398,0.9455252701596072,0.4611774397893015,0.0299624048353384,0.0095601526828925,,,0.9999995231144064,4.768855937154109e-07,,,,13.3,0.0
DESCN-style,visit,RECENT,0.0009512422189119,0.0009512422189119,0.0149913845279756,0.008102090514106,0.0710136536729621,0.1008884631645509,0.0650861512590155,0.0381218671473826,0.0271987290206893,0.0466576314872526,0.5111307570295214,0.9454368846054504,0.4093281282103965,0.0299711809312179,0.0083784623598078,,,0.9039714555359024,0.0960280675785037,,,,15.1,0.0
CHAUN-attn,visit,RECENT,0.0054913573830807,0.0054913573830807,0.0217112019397734,0.0084318389505867,0.0787330627247103,0.080627554290348,0.0597459390724966,0.0390952527191417,0.0287374901385687,0.0474746000622407,0.5119316464727999,0.9451439685107595,0.3836355847493931,0.029985786161516,0.0027956426171208,,,0.906308671830702,0.0936913281692982,,,,51.1,1019.6
DRA-Net,visit,PROPOSED,0.0068739192239934,0.0068739192239934,0.0117350786420698,0.0078792880191179,0.065556154621411,0.0681914594774751,0.0514643432290131,0.0332926423931085,0.0245584810051484,0.0460693400156015,0.5128337482232633,0.945862681035545,0.4276661812717347,0.0299038934348559,0.0019877255130996,1.0,0.03650941011963,1.0,0.0,0.0890855671051947,0.0,0.9109144328948052,96.4,
DRA-Net (r-policy),visit,PROPOSED,0.0068739192239934,0.0068739192239934,0.0117350786420698,0.008652945725211922,0.0838115144237549,0.06583839682881187,0.05169634293730635,0.0382624835325967,0.029205691081380797,0.0460693400156015,0.5128337482232633,0.945862681035545,0.4276661812717347,0.0299038934348559,0.0019877255130996,1.0,0.03650941011963008,1.0,0.0,0.08908556710519476,0.0,0.9109144328948052,96.4,
DRA-Net* (TARNet backbone),visit,PROPOSED,,,,,0.09096776479696674,,,0.040620550336946615,,,,,,,,,,,,,,,,
DRA-Net (r-policy),conversion,PROPOSED,0.0005951836075717,0.0005951836075717,0.0011436869817899,0.0008421119455042403,0.13593189332117034,0.007521809856580023,0.0067801417193015315,0.004082418848407321,0.002900918191291812,0.0030567741942723,0.1937588652183742,0.943924586363599,0.1242646003730807,0.0025714884089419,0.0003730376536479,1.0,0.12019307116071902,1.0,0.0,0.046702359963737616,0.0,0.9532976400362624,104.8,
DRA-Net* (CFRNet backbone),conversion,PROPOSED,,,,,0.15040547978929847,,,0.0042503763021238695,,,,,,,,,,,,,,,,
